"Bird","Sex","Date_Captured","Location_Captured","Nest_2023_Nestbox","Nest_2023_Round","Nest_2023_BirdNumber","Nest_2024_Nestbox","Nest_2024_Round","Nest_2024_BirdNumber","Nest_2025_Nestbox","Nest_2025_Round","Nest_2025_BirdNumber","Nest_2026_Nestbox","Nest_2026_Round","Nest_2026_BirdNumber","RFID_09-10_2025_Age","RFID_09-10_2025_Feeders","RFID_09-10_2025_Season","RFID_04-05_2026_Age","RFID_04-05_2026_Feeders","RFID_04-05_2026_Season","RFID_06-07_2026_Age","RFID_06-07_2026_Feeders","RFID_06-07_2026_Season","Fall_2025_Community","Spring_2026_Community","Summer_2026_Community","StandardizedCommunity","Matches"
"SDT","F","05/27/26","FD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HY","C, D, E","06-07 2026","Fall Not detected","Spring Not detected","Summer C2",NA,1
"SGB","F","06/16/18","Trial 22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HY","R","09-10 2025","SY","Q, R","04-05 2026","SY","Q, R","06-07 2026","Fall C17","Spring C12","Summer C9",5,3
"SNO",NA,"06/28/21","F6","11","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SNR",NA,"06/10/21","F1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestling","H, I","06-07 2026","Fall Not detected","Spring Not detected","Summer C6",NA,1
"SOG",NA,"09/26/20","F3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestling","E","09-10 2025","SY","D, E","04-05 2026","SY","D, E","06-07 2026","Fall C5","Spring C1","Summer C3",9,3
"SOR","M","11/03/24","FQ","53","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOT",NA,"07/08/21","F18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestling","D, E","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C5","Spring Not detected","Summer Not detected",9,1
"SPD","F","05/03/26","NB75",NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO","F","06/17/26","NB42",NA,NA,NA,NA,NA,NA,NA,NA,NA,"42","FirstRound","Bird3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPT","F","06/19/26","FF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HY","E, F","06-07 2026","Fall Not detected","Spring Not detected","Summer C3",NA,1
"SPW",".","06/26/26","FN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HY","M, N","06-07 2026","Fall Not detected","Spring Not detected","Summer C8",13,1
"SPY","F","06/18/26","NB38A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"38A","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRP","F","06/11/24","FQ",NA,NA,NA,NA,NA,NA,"16B (old: 94)","SecondRound","Bird2",NA,NA,NA,"ASY","P, Q, R","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C16","Spring Not detected","Summer Not detected",NA,NA
"SSO",NA,"06/14/21","NB43","42","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SSS",NA,"05/02/21","NB16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestling","B, C","06-07 2026","Fall Not detected","Spring Not detected","Summer C2",NA,1
"SST",NA,"11/13/21","F7","12","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STP","M","05/03/26","NB82",NA,NA,NA,NA,NA,NA,NA,NA,NA,"82","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STR",NA,"06/28/21","F4","50","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STS","M","04/30/26","NB68",NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STS","M","04/30/26","NB68",NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STT",NA,"07/10/19","F10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SY","R","09-10 2025","ASY","Q, R, S","04-05 2026","ASY","Q, R","06-07 2026","Fall C17","Spring C12","Summer C9",5,3
"SWB","M","06/19/24","NB04",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","FirstRound","Bird1","SY","C","09-10 2025","ASY","C, D","04-05 2026","ASY","C, D","06-07 2026","Fall C3","Spring C3","Summer C2",8,3
"SWG","F","06/26/24","FT",NA,NA,NA,NA,NA,NA,"18","SecondRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWN","F","10/27/24","FL",NA,NA,NA,NA,NA,NA,"13","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWR",NA,"07/01/21","F21","42","FirstRound","Bird3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWS","F","07/08/24","FN",NA,NA,NA,NA,NA,NA,"15A","FirstRound","Bird2",NA,NA,NA,"SY","N","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C15","Spring Not detected","Summer Not detected",NA,NA
"SWT","F","07/10/18","Trial 26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SY","A","09-10 2025","ASY","A","04-05 2026","ASY","A","06-07 2026","Fall C2","Spring C2","Summer C1",7,3
"SYO",NA,"07/08/21","F17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SY","B, C","09-10 2025","ASY","B, C","04-05 2026","ASY","B, C","06-07 2026","Fall C3","Spring C3","Summer C2",8,3
"SYR",NA,"06/14/21","F9",NA,NA,NA,NA,NA,NA,"15B (old: 54)","FirstRound","Bird2",NA,NA,NA,"ASY","C","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C3","Spring Not detected","Summer Not detected",8,1
"SYT","F","06/18/24","FD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SY","C, D","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C3","Spring Not detected","Summer Not detected",8,1
"WB",NA,NA,NA,NA,NA,NA,"9","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WBO","M","04/26/26","NB15B",NA,NA,NA,NA,NA,NA,"15A","FirstRound","Bird1","15B (old: 54)","FirstRound","Bird1","AHY","N, O","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C15","Spring Not detected","Summer Not detected",NA,NA
"WBT","M","04/13/25","NB03",NA,NA,NA,NA,NA,NA,"3","FirstRound","Bird1",NA,NA,NA,"AHY","C, D, E, F","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C4","Spring Not detected","Summer Not detected",NA,NA
"WDB","F","04/14/26","NB15C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"15C (old: 62)","FirstRound","Bird2",NA,NA,NA,"AHY","O, P, Q","04-05 2026","AHY","O","06-07 2026","Fall Not detected","Spring C11","Summer C10",4,1
"WDD","M","05/18/26","NB18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestling","R, S","06-07 2026","Fall Not detected","Spring Not detected","Summer C11",6,1
"WDG","M","10/26/25","FT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestling","S","09-10 2025",NA,NA,NA,"SY","S","06-07 2026","Fall C18","Spring Not detected","Summer C11",6,2
"WDN","M","09/21/25","FQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestling","Q, R","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C16","Spring Not detected","Summer Not detected",NA,NA
"WDS","F","04/26/26","NB52",NA,NA,NA,NA,NA,NA,NA,NA,NA,"52","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WDT","M","04/19/26","NB05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestling","Q","06-07 2026","Fall Not detected","Spring Not detected","Summer C9",NA,1
"WDW","M","09/21/25","FQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestling","Q, R","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C16","Spring Not detected","Summer Not detected",NA,NA
"WDY","M","05/18/26","NB10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestling","H","06-07 2026","Fall Not detected","Spring Not detected","Summer C6",NA,1
"WND","F","04/30/26","NB84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WNP","M","06/04/26","NB53",NA,NA,NA,NA,NA,NA,NA,NA,NA,"53","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,"AHY","L, M, N","06-07 2026","Fall Not detected","Spring Not detected","Summer C8",13,1
"WNS","F","05/03/26","NB09",NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","FirstRound","Bird2",NA,NA,NA,"AHY","H, I","04-05 2026","AHY","H, I, J","06-07 2026","Fall Not detected","Spring C7","Summer C6",14,2
"WOG","M","07/01/25","MN-FF",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","FirstRound","Bird1","HY","F, G, H, I","09-10 2025","SY","F, H","04-05 2026","SY","F, G, H","06-07 2026","Fall C7","Spring C4","Summer C4",11,3
"WPB","M","04/26/26","NB15B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestling","L, M, N","06-07 2026","Fall Not detected","Spring Not detected","Summer C8",13,1
"WPD","M","06/22/26","EB3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HY","F, G, J","06-07 2026","Fall Not detected","Spring Not detected","Summer C5",NA,1
"WPG","M","02/01/26","FF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AHY","F","04-05 2026","AHY","F","06-07 2026","Fall Not detected","Spring C4","Summer C3",NA,1
"WPS","F","06/17/26","FO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HY","O, P, Q","06-07 2026","Fall Not detected","Spring Not detected","Summer C9",NA,1
"WPW","F","04/19/26","NB05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestling","A","06-07 2026","Fall Not detected","Spring Not detected","Summer C1",7,1
"WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","SecondRound","Bird3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","SecondRound","Bird3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WRO","F","04/17/25","NB17",NA,NA,NA,"21","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WRT","M","09/17/23","FS",NA,NA,NA,NA,NA,NA,"17","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WRT","M","09/17/23","FS",NA,NA,NA,NA,NA,NA,"17","SecondRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WSY","F","04/19/25","NB8",NA,NA,NA,NA,NA,NA,"8","FirstRound","Bird1","7","FirstRound","Bird3","AHY","F, G, H, I","09-10 2025","ASY","F, H","04-05 2026","ASY","F, G, H","06-07 2026","Fall C7","Spring C4","Summer C4",11,3
"WTP","M","04/29/26","NB59",NA,NA,NA,NA,NA,NA,NA,NA,NA,"59","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WTW","M","04/19/26","NB16A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestling","P, Q","06-07 2026","Fall Not detected","Spring Not detected","Summer C9",NA,1
"WWB","F","06/06/24","FH",NA,NA,NA,"8","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,"ASY","H","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C7","Spring Not detected","Summer Not detected",11,1
"WWD","M","10/26/25","FR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestling","P, Q, R","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C16","Spring Not detected","Summer Not detected",NA,NA
"WYD","M","06/10/25","NB17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestling","R, S","09-10 2025","SY","R, S","04-05 2026","SY","S","06-07 2026","Fall C18","Spring C13","Summer C11",6,3
"WYP","M","06/01/26","NB81",NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YBB",NA,"06/16/21","NB62",NA,NA,NA,"22","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YBN","M","06/06/24","FG",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","FirstRound","Bird2","SY","F, H","09-10 2025","ASY","F, H","04-05 2026","ASY","F, G, H","06-07 2026","Fall C7","Spring C4","Summer C4",11,3
"YBR","F","05/19/18","Trial *",NA,NA,NA,"12","FirstRound","Bird1","19","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YBT","M","06/18/18","Trial 24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"15C (old: 62)","FirstRound","Bird1","SY","N, O, P","09-10 2025","ASY","O, P","04-05 2026","ASY","N, O","06-07 2026","Fall C14","Spring C11","Summer C9",4,3
"YBY","M","06/11/24","FO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SY","N, O, P","09-10 2025","ASY","O, P","04-05 2026","ASY","N, O, Q","06-07 2026","Fall C14","Spring C11","Summer C9",4,3
"YDD","F","06/25/25","FG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HY","G, I, J, K, L","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C9","Spring Not detected","Summer Not detected",NA,NA
"YDP",NA,"06/18/25","FD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AHY","D, E","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C5","Spring Not detected","Summer Not detected",9,1
"YDT","M","05/07/25","NB22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestling","F, G","09-10 2025","SY","G","04-05 2026","SY","F, G","06-07 2026","Fall C8","Spring C6","Summer C5",NA,2
"YDW","M","06/25/25","FH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","FirstRound","Bird1","HY","H, I","09-10 2025","SY","H, I","04-05 2026","SY","H, I","06-07 2026","Fall C7","Spring C7","Summer C6",14,2
"YGD","M","05/21/25","FH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","FirstRound","Bird1","AHY","H, I","09-10 2025","ASY","H","04-05 2026","ASY","H","06-07 2026","Fall C7","Spring C7","Summer C6",14,2
"YGP","F","03/22/26","FI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,".","I, K","04-05 2026",NA,NA,NA,"Fall Not detected","Spring C8","Summer Not detected",NA,1
"YGY",NA,"09/19/20","F8",NA,NA,NA,NA,NA,NA,"15B (old: 54)","FirstRound","Bird1","15B (old: 54)","FirstRound","Bird3","SY","O","09-10 2025","ASY","O","04-05 2026","ASY","N, O","06-07 2026","Fall C14","Spring C11","Summer C9",4,3
"YND","M","09/21/25","FO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AHY","O","09-10 2025","ASY","M, N, P, Q","04-05 2026","ASY","M, N","06-07 2026","Fall C14","Spring C9","Summer C8",13,2
"YNR",NA,"05/09/21","NB22",NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YNR",NA,"05/09/21","NB22",NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YOD","M","11/02/25","FN",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","FirstRound","Bird1",NA,NA,NA,"SY","M, N","04-05 2026","SY","M, N","06-07 2026","Fall Not detected","Spring C9","Summer C8",13,2
"YOP","M","04/18/25","NB13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestling","L, M","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C12","Spring Not detected","Summer Not detected",NA,NA
"YOS",NA,"09/19/20","F8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YPN","F","04/21/26","NB20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AHY","C","04-05 2026",NA,NA,NA,"Fall Not detected","Spring C3","Summer Not detected",8,1
"YPS","F","06/18/25","FE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","FirstRound","Bird2","HY","E, F","09-10 2025","SY","E","04-05 2026","SY","E, F","06-07 2026","Fall C6","Spring C1","Summer C3",10,3
"YPS","F","06/18/25","FE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","FirstRound","Bird2","HY","E, F","09-10 2025","SY","E","04-05 2026","SY","E, F","06-07 2026","Fall C6","Spring C1","Summer C3",10,3
"YPT","F","04/07/26","EB4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EB4","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YPW","F","05/31/25","FR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HY","R","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C17","Spring Not detected","Summer Not detected",5,1
"YRP","F","06/22/26","FS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HY","S","06-07 2026","Fall Not detected","Spring Not detected","Summer C11",6,1
"YSB","M","06/23/18","Trial 33",NA,NA,NA,NA,NA,NA,"13","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YSG",NA,"07/07/21","F20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASY","R, S","04-05 2026",NA,NA,NA,"Fall Not detected","Spring C13","Summer Not detected",6,1
"YSR",NA,"07/08/19","F1",NA,NA,NA,NA,NA,NA,"19","FirstRound","Bird2",NA,NA,NA,"SY","I, J","09-10 2025","ASY","I, K","04-05 2026","ASY","I, J","06-07 2026","Fall C10","Spring C8","Summer C6",2,3
"YTD","M","04/17/25","NB5",NA,NA,NA,NA,NA,NA,"5","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YWD","F","04/17/25","NB3",NA,NA,NA,NA,NA,NA,"3","FirstRound","Bird2",NA,NA,NA,"AHY","C, D, F","09-10 2025",NA,NA,NA,NA,NA,NA,"Fall C4","Spring Not detected","Summer Not detected",NA,NA
"YWS",NA,"05/02/21","NB13",NA,NA,NA,NA,NA,NA,"22","FirstRound","Bird1",NA,NA,NA,"SY","F, G","09-10 2025","ASY","G","04-05 2026","ASY","F, G","06-07 2026","Fall C8","Spring C5","Summer C5",12,3
"YXT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EB3","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YYB",NA,"04/29/21","NB2","2","FirstRound","Bird1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YYN",NA,"05/06/21","NB74",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","FirstRound","Bird2","Nestling","R, S","09-10 2025","SY","R, S","04-05 2026","SY","R, S","06-07 2026","Fall C18","Spring C13","Summer C11",6,3
"YYY",NA,"05/06/21","NB74","74","FirstRound","Bird2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
